time,marker,data_1,data_2,data_3
1665273233.5969446,1,-012726, -026133, -008385
1665273233.5972416,1,-012726, -026133, -008385
1665273233.5982459,1,-011437, -026208, -008163
1665273233.5992718,1,-011437, -026208, -008163
1665273233.5996084,1,-011437, -026208, -008163
1665273233.6033566,1,-011437, -026208, -008163
1665273233.6042235,1,-011295, -025265, -006795
1665273233.6042235,1,-011295, -025265, -006795
1665273233.6052666,1,-011295, -025265, -006795
1665273233.6069424,1,-012726, -026133, -008385
1665273233.6131995,1,-011295, -025265, -006795
1665273233.6134584,1,-011109, -023571, -004193
1665273233.61423,1,-011109, -023571, -004193
1665273233.6154263,1,-011109, -023571, -004193
1665273233.6154263,1,-011109, -023571, -004193
1665273233.6161933,1,-012153, -021212, -001874
1665273233.6172712,1,-012153, -021212, -001874
1665273233.6172712,1,-012153, -021212, -001874
1665273233.61819,1,-012153, -021212, -001874
1665273233.6192203,1,-012569, -018457, -000049
1665273233.6201828,1,-012569, -018457, -000049
1665273233.6211987,1,-012569, -018457, -000049
1665273233.6221762,1,-012569, -018457, -000049
1665273233.6221762,1,-013012, -015222, 001131
1665273233.6231735,1,-013012, -015222, 001131
1665273233.624171,1,-013012, -015222, 001131
1665273233.6252449,1,-013012, -015222, 001131
1665273233.627189,1,-013012, -015222, 001131
1665273233.627189,1,-012857, -012133, 002086
1665273233.6281936,1,-012857, -012133, 002086
1665273233.6291592,1,-012857, -012133, 002086
1665273233.6291592,1,-012857, -012133, 002086
1665273233.6301851,1,-013615, -009817, 003197
1665273233.6311843,1,-013615, -009817, 003197
1665273233.6311843,1,-013615, -009817, 003197
1665273233.634232,1,-014004, -008428, 004338
1665273233.6351686,1,-014004, -008428, 004338
1665273233.6353815,1,-014004, -008428, 004338
1665273233.6361382,1,-014004, -008428, 004338
1665273233.6365633,1,-014004, -008428, 004338
1665273233.640362,1,-014449, -007799, 005410
1665273233.641359,1,-014449, -007799, 005410
1665273233.6463218,1,-014449, -007799, 005410
1665273233.6473207,1,-014449, -007799, 005410
1665273233.6473207,1,-014336, -007334, 005819
1665273233.6483128,1,-014336, -007334, 005819
1665273233.6483128,1,-014336, -007334, 005819
1665273233.64931,1,-014169, -006796, 005901
1665273233.6503072,1,-014169, -006796, 005901
1665273233.6503072,1,-014169, -006796, 005901
1665273233.65132,1,-014169, -006796, 005901
1665273233.6553254,1,-014335, -006084, 005515
1665273233.6562922,1,-014335, -006084, 005515
1665273233.6562922,1,-014335, -006084, 005515
1665273233.65913,1,-014335, -006084, 005515
1665273233.6601038,1,-014698, -004819, 005290
1665273233.6601038,1,-014698, -004819, 005290
1665273233.6610997,1,-014698, -004819, 005290
1665273233.6621046,1,-014698, -004819, 005290
1665273233.6621046,1,-015659, -003338, 004841
1665273233.6633098,1,-015659, -003338, 004841
1665273233.6650891,1,-015659, -003338, 004841
1665273233.666088,1,-015659, -003338, 004841
1665273233.6720128,1,-016969, -001972, 004757
1665273233.6721733,1,-016969, -001972, 004757
1665273233.6721733,1,-016969, -001972, 004757
1665273233.6730103,1,-016969, -001972, 004757
1665273233.6730103,1,-016969, -001972, 004757
1665273233.6740072,1,-017475, 000915, 005017
1665273233.6740072,1,-017475, 000915, 005017
1665273233.675005,1,-017475, 000915, 005017
1665273233.6760018,1,-017475, 000915, 005017
1665273233.681986,1,-018457, 003273, 005489
1665273233.6823013,1,-018457, 003273, 005489
1665273233.6829836,1,-018457, 003273, 005489
1665273233.683981,1,-018457, 003273, 005489
1665273233.684978,1,-018521, 005041, 005804
1665273233.684978,1,-018521, 005041, 005804
1665273233.684978,1,-018521, 005041, 005804
1665273233.6879697,1,-018521, 005041, 005804
1665273233.6879697,1,-017952, 007485, 006313
1665273233.6889672,1,-017952, 007485, 006313
