time,marker,data_1,data_2,data_3
1665273588.9740891,1,-013238, -010601, -002873
1665273588.983986,1,-012719, -009861, -000797
1665273588.986017,1,-012719, -009861, -000797
1665273588.9880285,1,-012959, -009919, -001845
1665273588.990013,1,-012959, -009919, -001845
1665273588.9910097,1,-012959, -009919, -001845
1665273588.9930046,1,-012959, -009919, -001845
1665273588.9940019,1,-013238, -010601, -002873
1665273588.9959967,1,-013238, -010601, -002873
1665273588.997982,1,-013238, -010601, -002873
1665273588.9999394,1,-013308, -011490, -003111
1665273589.0009692,1,-013308, -011490, -003111
1665273589.0019348,1,-013308, -011490, -003111
1665273589.0029314,1,-013308, -011490, -003111
1665273589.003928,1,-013375, -012091, -003300
1665273589.005987,1,-013375, -012091, -003300
1665273589.0069842,1,-013375, -012091, -003300
1665273589.0079813,1,-013375, -012091, -003300
1665273589.0089786,1,-013375, -012091, -003300
1665273589.0099752,1,-013581, -012333, -003100
1665273589.010973,1,-013581, -012333, -003100
1665273589.0119703,1,-013581, -012333, -003100
1665273589.0129673,1,-013581, -012333, -003100
1665273589.013965,1,-013841, -012224, -002781
1665273589.0153759,1,-013841, -012224, -002781
1665273589.015961,1,-013841, -012224, -002781
1665273589.0189512,1,-013841, -012224, -002781
1665273589.0199485,1,-014091, -011914, -002486
1665273589.020946,1,-014091, -011914, -002486
1665273589.020946,1,-014091, -011914, -002486
1665273589.0219438,1,-014091, -011914, -002486
1665273589.0229404,1,-014164, -011422, -002240
1665273589.0239375,1,-014164, -011422, -002240
1665273589.0239375,1,-014164, -011422, -002240
1665273589.024935,1,-014164, -011422, -002240
1665273589.0259323,1,-014113, -010886, -002317
1665273589.0259323,1,-014113, -010886, -002317
1665273589.0269296,1,-014113, -010886, -002317
1665273589.0279267,1,-014113, -010886, -002317
1665273589.027978,1,-014113, -010886, -002317
1665273589.0289242,1,-013996, -010452, -002455
1665273589.0292912,1,-013996, -010452, -002455
1665273589.0299308,1,-013996, -010452, -002455
1665273589.0309427,1,-013996, -010452, -002455
1665273589.0309427,1,-013890, -010249, -002715
1665273589.0319178,1,-013890, -010249, -002715
1665273589.032915,1,-013890, -010249, -002715
1665273589.032915,1,-013890, -010249, -002715
1665273589.033918,1,-013891, -010211, -002914
1665273589.0349085,1,-013891, -010211, -002914
1665273589.0349085,1,-013891, -010211, -002914
1665273589.0349085,1,-013891, -010211, -002914
1665273589.0359051,1,-013945, -010294, -003147
1665273589.0359051,1,-013945, -010294, -003147
1665273589.0359051,1,-013945, -010294, -003147
1665273589.0369022,1,-013945, -010294, -003147
1665273589.0369022,1,-013943, -010415, -003304
1665273589.0369022,1,-013943, -010415, -003304
1665273589.0378997,1,-013943, -010415, -003304
1665273589.0378997,1,-013943, -010415, -003304
1665273589.0378997,1,-014072, -010519, -003320
1665273589.0388968,1,-014072, -010519, -003320
1665273589.0391736,1,-014072, -010519, -003320
1665273589.0391736,1,-014072, -010519, -003320
1665273589.0398943,1,-014246, -010708, -003394
1665273589.04607,1,-014246, -010708, -003394
1665273589.0464163,1,-014246, -010708, -003394
1665273589.0470943,1,-014246, -010708, -003394
1665273589.0470943,1,-014441, -010891, -003378
1665273589.0470943,1,-014441, -010891, -003378
1665273589.0481238,1,-014441, -010891, -003378
1665273589.0481238,1,-014441, -010891, -003378
1665273589.0555756,1,-014441, -010891, -003378
1665273589.056075,1,-014523, -010961, -003359
1665273589.0576587,1,-014523, -010961, -003359
1665273589.0580525,1,-014523, -010961, -003359
1665273589.0580525,1,-014523, -010961, -003359
1665273589.0590498,1,-014501, -010850, -003213
1665273589.0590498,1,-014501, -010850, -003213
1665273589.060047,1,-014501, -010850, -003213
1665273589.0603702,1,-014501, -010850, -003213
1665273589.0610442,1,-014373, -010625, -003064
1665273589.0610442,1,-014373, -010625, -003064
1665273589.0670288,1,-014373, -010625, -003064
1665273589.0674844,1,-014373, -010625, -003064
1665273589.0680254,1,-014271, -010384, -002864
1665273589.069656,1,-014271, -010384, -002864
1665273589.0700917,1,-014271, -010384, -002864
1665273589.0706916,1,-014271, -010384, -002864
1665273589.0706916,1,-014200, -010015, -002712
1665273589.0706916,1,-014200, -010015, -002712
1665273589.071694,1,-014200, -010015, -002712
1665273589.071694,1,-014200, -010015, -002712
1665273589.077008,1,-014247, -009523, -002518
1665273589.0780396,1,-014247, -009523, -002518
1665273589.0780396,1,-014247, -009523, -002518
1665273589.0790067,1,-014247, -009523, -002518
1665273589.0847738,1,-014247, -009523, -002518
1665273589.0858104,1,-014095, -008864, -002277
1665273589.0858104,1,-014095, -008864, -002277
1665273589.0868082,1,-014095, -008864, -002277
1665273589.0868082,1,-014095, -008864, -002277
1665273589.0868082,1,-013988, -008137, -002030
1665273589.1022615,1,-013988, -008137, -002030
1665273589.1025221,1,-013988, -008137, -002030
1665273589.115482,1,-013988, -008137, -002030
1665273589.1174767,1,-013853, -007324, -001845
1665273589.118481,1,-013853, -007324, -001845
1665273589.1328046,1,-013853, -007324, -001845
1665273589.133865,1,-013853, -007324, -001845
1665273589.1347933,1,-013782, -006512, -001692
1665273589.148497,1,-013782, -006512, -001692
1665273589.14858,1,-013782, -006512, -001692
1665273589.1494982,1,-013782, -006512, -001692
1665273589.1505165,1,-013687, -005668, -001594
1665273589.1509447,1,-013687, -005668, -001594
1665273589.1822004,1,-013687, -005668, -001594
1665273589.1822004,1,-013687, -005668, -001594
1665273589.1832252,1,-013747, -004864, -001790
1665273589.2379868,1,-013747, -004864, -001790
1665273589.2406027,1,-013747, -004864, -001790
1665273589.2412915,1,-013747, -004864, -001790
1665273589.242269,1,-013747, -004864, -001790
1665273589.243267,1,-014039, -004296, -002080
1665273589.2442837,1,-014039, -004296, -002080
1665273589.245262,1,-014039, -004296, -002080
1665273589.246272,1,-014039, -004296, -002080
1665273589.2483444,1,-014304, -003690, -002469
