time,marker,data_1,data_2,data_3
1665273276.7973528,1,-009087, 002165, -012777
1665273276.797909,1,-009087, 002165, -012777
1665273276.7989104,1,-009087, 002165, -012777
1665273276.7999036,1,-009060, 002141, -012732
1665273276.8048902,1,-009060, 002141, -012732
1665273276.8051233,1,-009060, 002141, -012732
1665273276.8058875,1,-009060, 002141, -012732
1665273276.8098774,1,-009069, 002129, -012826
1665273276.8108761,1,-009069, 002129, -012826
1665273276.811873,1,-009069, 002129, -012826
1665273276.812869,1,-009087, 002165, -012777
1665273276.8248374,1,-009067, 002176, -012732
1665273276.825034,1,-009067, 002176, -012732
1665273276.8258345,1,-009067, 002176, -012732
1665273276.8258345,1,-009067, 002176, -012732
1665273276.8268316,1,-009077, 002152, -012761
1665273276.82783,1,-009077, 002152, -012761
1665273276.82783,1,-009077, 002152, -012761
1665273276.8288698,1,-009077, 002152, -012761
1665273276.829824,1,-009066, 002185, -012715
1665273276.830822,1,-009066, 002185, -012715
1665273276.830822,1,-009066, 002185, -012715
1665273276.831819,1,-009066, 002185, -012715
1665273276.8328161,1,-009066, 002185, -012715
1665273276.8329031,1,-009065, 002172, -012750
1665273276.833813,1,-009065, 002172, -012750
1665273276.8341362,1,-009065, 002172, -012750
1665273276.8348103,1,-009065, 002172, -012750
1665273276.8358078,1,-009075, 002157, -012691
1665273276.8358078,1,-009075, 002157, -012691
1665273276.8369136,1,-009075, 002157, -012691
1665273276.837806,1,-009075, 002157, -012691
1665273276.837806,1,-009065, 002146, -012698
1665273276.838802,1,-009065, 002146, -012698
1665273276.839799,1,-009065, 002146, -012698
1665273276.839799,1,-009065, 002146, -012698
1665273276.8407965,1,-009035, 002167, -012712
1665273276.8419368,1,-009035, 002167, -012712
1665273276.8457854,1,-009035, 002167, -012712
1665273276.846779,1,-009035, 002167, -012712
1665273276.8477755,1,-009013, 002117, -012683
1665273276.8477755,1,-009013, 002117, -012683
1665273276.8477755,1,-009013, 002117, -012683
1665273276.8489347,1,-009013, 002117, -012683
1665273276.8489347,1,-009024, 002087, -012802
1665273276.8497708,1,-009024, 002087, -012802
1665273276.8497708,1,-009024, 002087, -012802
1665273276.8507674,1,-009024, 002087, -012802
1665273276.8507674,1,-009047, 002071, -012808
1665273276.851765,1,-009047, 002071, -012808
1665273276.851893,1,-009047, 002071, -012808
1665273276.8527622,1,-009047, 002071, -012808
1665273276.8527622,1,-009035, 002051, -012831
1665273276.8537593,1,-009035, 002051, -012831
1665273276.854757,1,-009035, 002051, -012831
1665273276.8567514,1,-009035, 002051, -012831
1665273276.8577487,1,-009035, 002051, -012831
1665273276.8607411,1,-009042, 002072, -012900
1665273276.8617408,1,-009042, 002072, -012900
1665273276.8627362,1,-009042, 002072, -012900
1665273276.8627362,1,-009042, 002072, -012900
1665273276.8637333,1,-009071, 002071, -012942
1665273276.8637333,1,-009071, 002071, -012942
1665273276.8657274,1,-009071, 002071, -012942
1665273276.8657274,1,-009071, 002071, -012942
1665273276.872709,1,-009077, 002089, -012898
1665273276.8729126,1,-009077, 002089, -012898
1665273276.8737063,1,-009077, 002089, -012898
1665273276.8737063,1,-009077, 002089, -012898
1665273276.8747036,1,-009072, 002094, -012844
1665273276.8747036,1,-009072, 002094, -012844
1665273276.8747036,1,-009072, 002094, -012844
1665273276.8757017,1,-009072, 002094, -012844
1665273276.876698,1,-009072, 002094, -012844
1665273276.8776972,1,-009066, 002102, -012895
1665273276.881685,1,-009066, 002102, -012895
1665273276.8825881,1,-009066, 002102, -012895
1665273276.8825881,1,-009066, 002102, -012895
1665273276.8876228,1,-009084, 002090, -012857
1665273276.8876228,1,-009084, 002090, -012857
1665273276.8885758,1,-009084, 002090, -012857
1665273276.8885758,1,-009084, 002090, -012857
1665273276.8895714,1,-009079, 002102, -012867
1665273276.8895714,1,-009079, 002102, -012867
1665273276.89057,1,-009079, 002102, -012867
1665273276.893561,1,-009079, 002102, -012867
1665273276.893561,1,-009090, 002082, -012901
1665273276.8955555,1,-009090, 002082, -012901
1665273276.8965535,1,-009090, 002082, -012901
1665273276.8965535,1,-009090, 002082, -012901
1665273276.90154,1,-009135, 002069, -012901
1665273276.9016585,1,-009135, 002069, -012901
1665273276.902537,1,-009135, 002069, -012901
1665273276.902537,1,-009135, 002069, -012901
1665273276.903535,1,-009139, 002021, -012828
1665273276.903535,1,-009139, 002021, -012828
1665273276.9045317,1,-009139, 002021, -012828
1665273276.9065263,1,-009139, 002021, -012828
1665273276.9075234,1,-009147, 002044, -012839
1665273276.9125109,1,-009147, 002044, -012839
1665273276.91258,1,-009147, 002044, -012839
1665273276.91258,1,-009147, 002044, -012839
1665273276.9164994,1,-009138, 001961, -012870
1665273276.9174972,1,-009138, 001961, -012870
1665273276.9184945,1,-009138, 001961, -012870
1665273276.9184945,1,-009138, 001961, -012870
1665273276.9194915,1,-009203, 002004, -012838
1665273276.9194915,1,-009203, 002004, -012838
1665273276.9204893,1,-009203, 002004, -012838
1665273276.9206738,1,-009203, 002004, -012838
1665273276.9214861,1,-009203, 002004, -012838
1665273276.9274712,1,-009163, 001971, -012846
1665273276.9274712,1,-009163, 001971, -012846
1665273276.928469,1,-009163, 001971, -012846
1665273276.928469,1,-009163, 001971, -012846
1665273276.9295106,1,-009157, 001971, -012765
1665273276.9743457,1,-009157, 001971, -012765
1665273276.975342,1,-009157, 001971, -012765
1665273276.97634,1,-009157, 001971, -012765
1665273276.9778059,1,-009147, 001992, -012753
1665273276.9788027,1,-009147, 001992, -012753
1665273276.9798033,1,-009147, 001992, -012753
1665273276.9807982,1,-009147, 001992, -012753
1665273276.9817944,1,-009132, 002047, -012698
1665273276.9827914,1,-009132, 002047, -012698
1665273276.9927676,1,-009132, 002047, -012698
1665273277.0067275,1,-009132, 002047, -012698
1665273277.0087225,1,-009130, 002081, -012685
1665273277.0097194,1,-009130, 002081, -012685
1665273277.0147061,1,-009130, 002081, -012685
1665273277.015703,1,-009130, 002081, -012685
1665273277.015703,1,-009109, 002078, -012671
1665273277.0167012,1,-009109, 002078, -012671
1665273277.0176983,1,-009109, 002078, -012671
1665273277.045625,1,-009109, 002078, -012671
1665273277.0466218,1,-009107, 002063, -012666
1665273277.0625823,1,-009107, 002063, -012666
1665273277.0635762,1,-009107, 002063, -012666
1665273277.0645738,1,-009107, 002063, -012666
1665273277.0655706,1,-009107, 002063, -012666
1665273277.066567,1,-009041, 002112, -012588
1665273277.068563,1,-009041, 002112, -012588
1665273277.0695598,1,-009041, 002112, -012588
1665273277.0705569,1,-009041, 002112, -012588
1665273277.0715547,1,-009015, 002107, -012556
1665273277.0735497,1,-009015, 002107, -012556
1665273277.0755436,1,-009015, 002107, -012556
1665273277.0785363,1,-009015, 002107, -012556
1665273277.0805304,1,-009015, 002107, -012556
1665273277.0805304,1,-009012, 002121, -012534
1665273277.0815275,1,-009012, 002121, -012534
1665273277.0835228,1,-009012, 002121, -012534
1665273277.0845199,1,-009012, 002121, -012534
1665273277.0855167,1,-008988, 002174, -012538
1665273277.0875115,1,-008988, 002174, -012538
1665273277.0885086,1,-008988, 002174, -012538
1665273277.0905035,1,-008988, 002174, -012538
1665273277.0915008,1,-008961, 002196, -012573
1665273277.0915008,1,-008961, 002196, -012573
1665273277.092499,1,-008961, 002196, -012573
1665273277.0935347,1,-008961, 002196, -012573
1665273277.0944936,1,-008961, 002196, -012573
1665273277.0944936,1,-008956, 002181, -012608
