time,marker,data_1,data_2,data_3
1665273764.8214586,1,012296, -010635, -002806
1665273764.8225274,1,012040, -010386, -002947
1665273764.823524,1,012040, -010386, -002947
1665273764.8245215,1,012040, -010386, -002947
1665273764.8265178,1,012040, -010386, -002947
1665273764.8278782,1,011880, -010109, -003109
1665273764.8288748,1,011880, -010109, -003109
1665273764.8311667,1,012453, -010828, -002840
1665273764.8384576,1,012296, -010635, -002806
1665273764.839869,1,012296, -010635, -002806
1665273764.840076,1,012296, -010635, -002806
1665273764.8425982,1,011880, -010109, -003109
1665273764.8425982,1,011880, -010109, -003109
1665273764.8435981,1,011774, -009837, -003208
1665273764.8439283,1,011774, -009837, -003208
1665273764.8449244,1,011774, -009837, -003208
1665273764.8450973,1,011774, -009837, -003208
1665273764.8450973,1,011758, -009635, -003179
1665273764.8461025,1,011758, -009635, -003179
1665273764.8470924,1,011758, -009635, -003179
1665273764.8470924,1,011758, -009635, -003179
1665273764.8480887,1,011758, -009635, -003179
1665273764.8492055,1,011728, -009436, -003206
1665273764.8498547,1,011728, -009436, -003206
1665273764.8508515,1,011728, -009436, -003206
1665273764.8509917,1,011728, -009436, -003206
1665273764.8509917,1,011706, -009350, -003164
1665273764.8521636,1,011706, -009350, -003164
1665273764.8521636,1,011706, -009350, -003164
1665273764.8531604,1,011706, -009350, -003164
1665273764.8531604,1,011800, -009497, -002953
1665273764.8541577,1,011800, -009497, -002953
1665273764.8541577,1,011800, -009497, -002953
1665273764.8552663,1,011800, -009497, -002953
1665273764.8552663,1,011835, -009707, -002904
1665273764.856442,1,011835, -009707, -002904
1665273764.860946,1,011835, -009707, -002904
1665273764.8621914,1,011835, -009707, -002904
1665273764.8631878,1,011930, -009899, -002926
1665273764.8634326,1,011930, -009899, -002926
1665273764.8646848,1,011930, -009899, -002926
1665273764.8656826,1,011930, -009899, -002926
1665273764.8676531,1,011979, -010021, -002833
1665273764.8678312,1,011979, -010021, -002833
1665273764.8688278,1,011979, -010021, -002833
1665273764.8698292,1,011979, -010021, -002833
1665273764.8707316,1,011979, -010021, -002833
1665273764.871728,1,012137, -010146, -002743
1665273764.8752406,1,012137, -010146, -002743
1665273764.8762374,1,012137, -010146, -002743
1665273764.8766594,1,012137, -010146, -002743
1665273764.8778443,1,012293, -010243, -002627
1665273764.878841,1,012293, -010243, -002627
1665273764.879768,1,012293, -010243, -002627
1665273764.8807647,1,012293, -010243, -002627
1665273764.8825903,1,012421, -010372, -002446
1665273764.8833075,1,012421, -010372, -002446
1665273764.884304,1,012421, -010372, -002446
1665273764.8853445,1,012421, -010372, -002446
1665273764.8861332,1,012426, -010653, -002315
1665273764.8876433,1,012426, -010653, -002315
1665273764.8898053,1,012426, -010653, -002315
1665273764.8907013,1,012426, -010653, -002315
1665273764.8917742,1,012469, -011072, -002279
1665273764.8944533,1,012469, -011072, -002279
1665273764.8954494,1,012469, -011072, -002279
1665273764.895635,1,012469, -011072, -002279
1665273764.8966317,1,012572, -011373, -002230
1665273764.8976843,1,012572, -011373, -002230
1665273764.8986814,1,012572, -011373, -002230
1665273764.899889,1,012572, -011373, -002230
1665273764.9020822,1,012669, -011617, -002100
1665273764.9029746,1,012669, -011617, -002100
1665273764.9050655,1,012669, -011617, -002100
1665273764.9060786,1,012669, -011617, -002100
1665273764.9070752,1,012708, -011732, -002027
1665273764.9078348,1,012708, -011732, -002027
1665273764.9088316,1,012708, -011732, -002027
1665273764.9104133,1,012708, -011732, -002027
1665273764.9114077,1,012710, -011636, -002058
1665273764.9124045,1,012710, -011636, -002058
1665273764.9124045,1,012710, -011636, -002058
1665273764.9134028,1,012710, -011636, -002058
1665273764.9178624,1,012638, -011456, -002177
1665273764.9181445,1,012638, -011456, -002177
1665273764.919141,1,012638, -011456, -002177
1665273764.9209385,1,012638, -011456, -002177
1665273764.9219074,1,012638, -011456, -002177
1665273764.9229045,1,012498, -011199, -002258
1665273764.923903,1,012498, -011199, -002258
1665273764.9246511,1,012498, -011199, -002258
1665273764.9256494,1,012498, -011199, -002258
1665273764.92657,1,012372, -010983, -002314
1665273764.9275665,1,012372, -010983, -002314
1665273764.928278,1,012372, -010983, -002314
1665273764.9292748,1,012372, -010983, -002314
1665273764.9317138,1,012286, -010855, -002460
1665273764.932022,1,012286, -010855, -002460
1665273764.933019,1,012286, -010855, -002460
1665273764.9380953,1,012286, -010855, -002460
1665273764.9390907,1,012238, -010697, -002448
1665273764.939847,1,012238, -010697, -002448
1665273764.940922,1,012238, -010697, -002448
1665273764.9419196,1,012238, -010697, -002448
1665273764.942376,1,012098, -010451, -002619
1665273764.943435,1,012098, -010451, -002619
1665273764.9444351,1,012098, -010451, -002619
1665273764.9474258,1,012098, -010451, -002619
1665273764.9482973,1,012061, -010210, -002643
1665273764.9492936,1,012061, -010210, -002643
1665273764.9500349,1,012061, -010210, -002643
1665273764.951032,1,012061, -010210, -002643
1665273764.951853,1,012003, -010014, -002618
1665273764.95285,1,012003, -010014, -002618
1665273764.9536588,1,012003, -010014, -002618
1665273764.9546556,1,012003, -010014, -002618
1665273764.9554496,1,012000, -009879, -002664
1665273764.9577246,1,012000, -009879, -002664
1665273764.9594002,1,012000, -009879, -002664
1665273764.960408,1,012000, -009879, -002664
1665273764.9609442,1,011949, -009814, -002573
1665273764.9620335,1,011949, -009814, -002573
1665273764.9630315,1,011949, -009814, -002573
1665273764.965001,1,011949, -009814, -002573
1665273764.967088,1,012039, -009746, -002522
1665273764.987318,1,012039, -009746, -002522
1665273765.0028377,1,012039, -009746, -002522
1665273765.0042496,1,012039, -009746, -002522
