x_acc,y_acc,z_acc,label
1663835670.3113627,1,000398, -000125, 017012
1663835670.3113627,1,000398, -000125, 017012
1663835670.3113627,1,000398, -000125, 017012
1663835670.3123603,1,000398, -000125, 017012
1663835670.3123944,1,000398, -000125, 017012
1663835670.3123944,1,000398, -000125, 017012
1663835670.3123944,1,000398, -000125, 017012
1663835670.3123944,1,000394, -000109, 017008
1663835670.313392,1,000394, -000109, 017008
1663835670.313641,1,000394, -000109, 017008
1663835670.313641,1,000394, -000109, 017008
1663835670.313641,1,000394, -000109, 017008
1663835670.313641,1,000394, -000109, 017008
1663835670.3146386,1,000394, -000109, 017008
1663835670.3148897,1,000394, -000109, 017008
1663835670.3148897,1,000394, -000109, 017008
1663835670.3148897,1,000394, -000109, 017008
1663835670.3158867,1,000404, -000076, 017027
1663835670.316069,1,000404, -000076, 017027
1663835670.316069,1,000404, -000076, 017027
1663835670.316069,1,000404, -000076, 017027
1663835670.317066,1,000404, -000076, 017027
1663835670.3171294,1,000404, -000076, 017027
1663835670.3171294,1,000404, -000076, 017027
1663835670.3171294,1,000404, -000076, 017027
1663835670.3171294,1,000404, -000076, 017027
1663835670.3181267,1,000404, -000076, 017027
1663835670.3183942,1,000404, -000076, 017027
1663835670.3183942,1,000406, -000127, 017033
1663835670.3183942,1,000406, -000127, 017033
1663835670.3471045,1,000406, -000127, 017033
1663835670.3471045,1,000406, -000127, 017033
1663835670.3607607,1,000406, -000127, 017033
1663835670.362657,1,000406, -000127, 017033
1663835670.3640964,1,000406, -000127, 017033
1663835670.3655858,1,000406, -000127, 017033
1663835670.3669262,1,000406, -000127, 017033
1663835670.3669262,1,000406, -000127, 017033
1663835670.371974,1,000427, -000133, 017051
1663835670.3729703,1,000427, -000133, 017051
1663835670.3739703,1,000427, -000133, 017051
1663835670.3749664,1,000427, -000133, 017051
1663835670.375787,1,000427, -000133, 017051
1663835670.376784,1,000427, -000133, 017051
1663835670.3774374,1,000427, -000133, 017051
1663835670.3784344,1,000427, -000133, 017051
1663835670.379046,1,000427, -000133, 017051
1663835670.3800428,1,000427, -000133, 017051
1663835670.380616,1,000424, -000154, 017060
1663835670.3818524,1,000424, -000154, 017060
1663835670.3818524,1,000424, -000154, 017060
1663835670.3828497,1,000424, -000154, 017060
1663835670.3836896,1,000424, -000154, 017060
1663835670.3847597,1,000424, -000154, 017060
1663835670.3847597,1,000424, -000154, 017060
1663835670.3931863,1,000424, -000154, 017060
1663835670.3941822,1,000424, -000154, 017060
1663835670.3955324,1,000424, -000154, 017060
1663835670.3955324,1,000437, -000126, 017059
1663835670.410657,1,000437, -000126, 017059
1663835670.411655,1,000437, -000126, 017059
1663835670.4173408,1,000437, -000126, 017059
1663835670.4176042,1,000437, -000126, 017059
1663835670.4186006,1,000437, -000126, 017059
1663835670.4190745,1,000437, -000126, 017059
1663835670.4209824,1,000437, -000126, 017059
1663835670.434002,1,000437, -000126, 017059
1663835670.435002,1,000437, -000126, 017059
1663835670.4358344,1,000409, -000124, 017070
1663835670.436831,1,000409, -000124, 017070
1663835670.4473703,1,000409, -000124, 017070
1663835670.4473703,1,000409, -000124, 017070
1663835670.4537861,1,000409, -000124, 017070
1663835670.4539113,1,000409, -000124, 017070
1663835670.4549098,1,000409, -000124, 017070
1663835670.460066,1,000409, -000124, 017070
1663835670.460066,1,000409, -000124, 017070
1663835670.4621334,1,000409, -000124, 017070
1663835670.4623191,1,000422, -000121, 017062
1663835670.4633174,1,000422, -000121, 017062
1663835670.4653144,1,000422, -000121, 017062
1663835670.4653144,1,000422, -000121, 017062
1663835670.4769635,1,000422, -000121, 017062
1663835670.4769635,1,000422, -000121, 017062
1663835670.4803212,1,000422, -000121, 017062
1663835670.4815378,1,000422, -000121, 017062
1663835670.482532,1,000422, -000121, 017062
1663835670.4831672,1,000422, -000121, 017062
1663835670.4841766,1,000425, -000089, 017048
1663835670.4851518,1,000425, -000089, 017048
1663835670.486499,1,000425, -000089, 017048
1663835670.4874957,1,000425, -000089, 017048
1663835670.4882624,1,000425, -000089, 017048
1663835670.4892585,1,000425, -000089, 017048
1663835670.4901204,1,000425, -000089, 017048
1663835670.4911168,1,000425, -000089, 017048
1663835670.4920943,1,000425, -000089, 017048
1663835670.4930906,1,000425, -000089, 017048
1663835670.493506,1,000448, -000085, 017058
1663835670.494503,1,000448, -000085, 017058
1663835670.4950285,1,000448, -000085, 017058
1663835670.496025,1,000448, -000085, 017058
1663835670.4965827,1,000448, -000085, 017058
1663835670.4975796,1,000448, -000085, 017058
1663835670.4981003,1,000448, -000085, 017058
1663835670.499097,1,000448, -000085, 017058
1663835670.4996345,1,000448, -000085, 017058
1663835670.500631,1,000448, -000085, 017058
1663835670.501043,1,000448, -000085, 017058
1663835670.5020404,1,000428, -000125, 017050
1663835670.502346,1,000428, -000125, 017050
1663835670.5033743,1,000428, -000125, 017050
1663835670.5033743,1,000428, -000125, 017050
1663835670.5149977,1,000428, -000125, 017050
1663835670.5160005,1,000428, -000125, 017050
1663835670.5161262,1,000428, -000125, 017050
1663835670.5161262,1,000428, -000125, 017050
1663835670.5171227,1,000428, -000125, 017050
1663835670.5181203,1,000428, -000125, 017050
1663835670.5191176,1,000405, -000106, 017034
1663835670.5191176,1,000405, -000106, 017034
1663835670.5196626,1,000405, -000106, 017034
1663835670.5206597,1,000405, -000106, 017034
1663835670.5206597,1,000405, -000106, 017034
1663835670.5211911,1,000405, -000106, 017034
1663835670.5216565,1,000405, -000106, 017034
1663835670.5266433,1,000405, -000106, 017034
1663835670.5270343,1,000405, -000106, 017034
1663835670.5276406,1,000405, -000106, 017034
1663835670.5276406,1,000405, -000106, 017034
1663835670.5276406,1,000408, -000112, 017022
1663835670.5286376,1,000408, -000112, 017022
1663835670.5286376,1,000408, -000112, 017022
1663835670.5297465,1,000408, -000112, 017022
1663835670.5297465,1,000408, -000112, 017022
1663835670.5297465,1,000408, -000112, 017022
1663835670.5306323,1,000408, -000112, 017022
1663835670.5310266,1,000408, -000112, 017022
1663835670.5310266,1,000408, -000112, 017022
1663835670.5316744,1,000408, -000112, 017022
1663835670.5316744,1,000408, -000112, 017022
1663835670.5326269,1,000395, -000082, 016995
1663835670.5326269,1,000395, -000082, 016995
1663835670.533114,1,000395, -000082, 016995
1663835670.533114,1,000395, -000082, 016995
1663835670.533114,1,000395, -000082, 016995
1663835670.5341265,1,000395, -000082, 016995
1663835670.5344865,1,000395, -000082, 016995
1663835670.5344865,1,000395, -000082, 016995
1663835670.5351317,1,000395, -000082, 016995
1663835670.5351317,1,000395, -000082, 016995
1663835670.535794,1,000395, -000082, 016995
1663835670.5360572,1,000405, -000148, 017079
1663835670.5360572,1,000405, -000148, 017079
1663835670.5367928,1,000405, -000148, 017079
1663835670.5367928,1,000405, -000148, 017079
1663835670.5367928,1,000405, -000148, 017079
1663835670.5377903,1,000405, -000148, 017079
1663835670.5377903,1,000405, -000148, 017079
1663835670.5377903,1,000424, -000131, 017106
1663835670.5387876,1,000424, -000131, 017106
1663835670.5388877,1,000424, -000131, 017106
1663835670.5388877,1,000424, -000131, 017106
1663835670.539785,1,000424, -000131, 017106
1663835670.539785,1,000424, -000131, 017106
1663835670.539785,1,000424, -000131, 017106
1663835670.539785,1,000424, -000131, 017106
1663835670.540782,1,000433, -000098, 017068
1663835670.540782,1,000433, -000098, 017068
1663835670.540782,1,000433, -000098, 017068
1663835670.5417795,1,000433, -000098, 017068
1663835670.5418787,1,000433, -000098, 017068
1663835670.5418787,1,000433, -000098, 017068
1663835670.5418787,1,000433, -000098, 017068
1663835670.5428696,1,000433, -000098, 017068
1663835670.5431285,1,000433, -000098, 017068
1663835670.5433745,1,000433, -000098, 017068
1663835670.5433745,1,000435, -000115, 017058
1663835670.5441275,1,000435, -000115, 017058
1663835670.5441275,1,000435, -000115, 017058
1663835670.5441275,1,000435, -000115, 017058
1663835670.5451248,1,000435, -000115, 017058
1663835670.5451248,1,000435, -000115, 017058
1663835670.5451248,1,000435, -000115, 017058
1663835670.5451248,1,000435, -000115, 017058
1663835670.546123,1,000435, -000115, 017058
1663835670.546294,1,000435, -000115, 017058
1663835670.546294,1,000424, -000119, 017033
1663835670.546294,1,000424, -000119, 017033
1663835670.5471194,1,000424, -000119, 017033
1663835670.5471194,1,000424, -000119, 017033
1663835670.5471194,1,000424, -000119, 017033
1663835670.5476065,1,000424, -000119, 017033
1663835670.5476065,1,000424, -000119, 017033
1663835670.5476065,1,000424, -000119, 017033
1663835670.5476065,1,000424, -000119, 017033
1663835670.5486062,1,000424, -000119, 017033
1663835670.5487988,1,000424, -000119, 017033
1663835670.5487988,1,000385, -000080, 017069
1663835670.5487988,1,000385, -000080, 017069
1663835670.5487988,1,000385, -000080, 017069
1663835670.5497959,1,000385, -000080, 017069
1663835670.549976,1,000385, -000080, 017069
1663835670.549976,1,000385, -000080, 017069
1663835670.549976,1,000385, -000080, 017069
1663835670.549976,1,000385, -000080, 017069
1663835670.5509732,1,000385, -000080, 017069
1663835670.5510414,1,000385, -000080, 017069
1663835670.5510414,1,000419, -000076, 017090
1663835670.5510414,1,000405, -000137, 017098
1663835670.5510414,1,000405, -000137, 017098
1663835670.5520384,1,000405, -000137, 017098
1663835670.5521047,1,000405, -000137, 017098
1663835670.5521047,1,000405, -000137, 017098
1663835670.5521047,1,000405, -000137, 017098
1663835670.5521047,1,000405, -000137, 017098
1663835670.5531018,1,000405, -000137, 017098
1663835670.5531664,1,000405, -000137, 017098
1663835670.5531664,1,000429, -000119, 017045
1663835670.5531664,1,000429, -000119, 017045
1663835670.5531664,1,000429, -000119, 017045
1663835670.5541637,1,000429, -000119, 017045
1663835670.5542264,1,000429, -000119, 017045
1663835670.5542264,1,000429, -000119, 017045
1663835670.5542264,1,000429, -000119, 017045
1663835670.5542264,1,000429, -000119, 017045
1663835670.5552235,1,000429, -000119, 017045
1663835670.555285,1,000429, -000119, 017045
1663835670.555285,1,000437, -000111, 017052
1663835670.555285,1,000437, -000111, 017052
1663835670.555285,1,000437, -000111, 017052
1663835670.556282,1,000437, -000111, 017052
1663835670.5563462,1,000437, -000111, 017052
1663835670.5563462,1,000437, -000111, 017052
1663835670.5563462,1,000437, -000111, 017052
1663835670.5563462,1,000437, -000111, 017052
1663835670.5573432,1,000437, -000111, 017052
1663835670.5574033,1,000437, -000111, 017052
1663835670.5574033,1,000437, -000111, 017052
1663835670.5574033,1,000380, -000104, 016997
1663835670.5584087,1,000380, -000104, 016997
1663835670.5594554,1,000380, -000104, 016997
1663835670.5594554,1,000380, -000104, 016997
1663835670.5594554,1,000380, -000104, 016997
1663835670.5604606,1,000380, -000104, 016997
1663835670.5630672,1,000380, -000104, 016997
1663835670.5630672,1,000380, -000104, 016997
1663835670.5630672,1,000380, -000104, 016997
1663835670.5630672,1,000380, -000104, 016997
1663835670.564065,1,000379, -000127, 017004
1663835670.564268,1,000379, -000127, 017004
1663835670.564268,1,000379, -000127, 017004
1663835670.564268,1,000379, -000127, 017004
1663835670.5652654,1,000379, -000127, 017004
1663835670.5652654,1,000379, -000127, 017004
1663835670.5652654,1,000379, -000127, 017004
1663835670.5652654,1,000379, -000127, 017004
1663835670.5652654,1,000379, -000127, 017004
1663835670.5662627,1,000379, -000127, 017004
1663835670.5662627,1,000379, -000127, 017004
1663835670.5662627,1,000405, -000101, 017046
1663835670.5662627,1,000405, -000101, 017046
1663835670.5672598,1,000405, -000101, 017046
1663835670.567306,1,000405, -000101, 017046
1663835670.567306,1,000405, -000101, 017046
1663835670.567306,1,000405, -000101, 017046
1663835670.567306,1,000405, -000101, 017046
1663835670.5683033,1,000405, -000101, 017046
1663835670.5684347,1,000405, -000101, 017046
1663835670.5684347,1,000405, -000101, 017046
1663835670.5684347,1,000405, -000101, 017046
1663835670.5684347,1,000417, -000115, 017040
1663835670.5694318,1,000417, -000115, 017040
1663835670.5694318,1,000417, -000115, 017040
1663835670.5694318,1,000417, -000115, 017040
1663835670.5694318,1,000417, -000115, 017040
1663835670.5694318,1,000417, -000115, 017040
1663835670.570429,1,000422, -000127, 017057
1663835670.570429,1,000422, -000127, 017057
1663835670.570429,1,000422, -000127, 017057
1663835670.570429,1,000422, -000127, 017057
1663835670.570429,1,000422, -000127, 017057
1663835670.5714264,1,000422, -000127, 017057
1663835670.5714264,1,000422, -000127, 017057
1663835670.5714264,1,000422, -000127, 017057
1663835670.5714264,1,000422, -000127, 017057
1663835670.5722444,1,000440, -000128, 017055
1663835670.5722444,1,000440, -000128, 017055
1663835670.5722444,1,000440, -000128, 017055
1663835670.5722444,1,000440, -000128, 017055
1663835670.5732412,1,000440, -000128, 017055
1663835670.5733242,1,000416, -000150, 017027
1663835670.5733242,1,000416, -000150, 017027
1663835670.5733242,1,000416, -000150, 017027
1663835670.5733242,1,000416, -000150, 017027
1663835670.5743215,1,000416, -000150, 017027
1663835670.5743809,1,000416, -000150, 017027
1663835670.5743809,1,000416, -000150, 017027
1663835670.5743809,1,000416, -000150, 017027
1663835670.5743809,1,000416, -000150, 017027
1663835670.575378,1,000406, -000147, 017027
1663835670.5754588,1,000406, -000147, 017027
1663835670.5754588,1,000406, -000147, 017027
1663835670.5754588,1,000406, -000147, 017027
1663835670.5754588,1,000406, -000147, 017027
1663835670.5764558,1,000406, -000147, 017027
1663835670.5765002,1,000423, -000114, 017038
1663835670.5765002,1,000423, -000114, 017038
1663835670.5765002,1,000423, -000114, 017038
1663835670.5765002,1,000423, -000114, 017038
1663835670.5774972,1,000423, -000114, 017038
1663835670.5775383,1,000405, -000137, 017021
1663835670.5775383,1,000405, -000137, 017021
1663835670.5775383,1,000405, -000137, 017021
1663835670.5775383,1,000405, -000137, 017021
1663835670.5785353,1,000405, -000137, 017021
1663835670.578729,1,000405, -000137, 017021
1663835670.578729,1,000405, -000137, 017021
1663835670.578729,1,000405, -000137, 017021
1663835670.578729,1,000424, -000111, 017029
1663835670.579726,1,000424, -000111, 017029
1663835670.5798,1,000424, -000111, 017029
1663835670.5798,1,000424, -000111, 017029
1663835670.5798,1,000424, -000111, 017029
1663835670.5798,1,000424, -000111, 017029
1663835670.5807972,1,000424, -000111, 017029
1663835670.5808618,1,000424, -000111, 017029
1663835670.5818589,1,000424, -000111, 017029
1663835670.581881,1,000452, -000107, 017046
1663835670.581881,1,000452, -000107, 017046
1663835670.581881,1,000452, -000107, 017046
1663835670.581881,1,000452, -000107, 017046
1663835670.5828784,1,000452, -000107, 017046
1663835670.5829453,1,000452, -000107, 017046
1663835670.5829453,1,000452, -000107, 017046
1663835670.5829453,1,000452, -000107, 017046
1663835670.5829453,1,000452, -000107, 017046
1663835670.5839427,1,000452, -000107, 017046
1663835670.584006,1,000437, -000150, 017121
1663835670.584006,1,000437, -000150, 017121
1663835670.584006,1,000437, -000150, 017121
1663835670.584006,1,000437, -000150, 017121
1663835670.5850036,1,000437, -000150, 017121
1663835670.5850728,1,000437, -000150, 017121
1663835670.5850728,1,000437, -000150, 017121
1663835670.5850728,1,000437, -000150, 017121
1663835670.5850728,1,000437, -000150, 017121
1663835670.58607,1,000437, -000150, 017121
1663835670.5861363,1,000437, -000150, 017121
1663835670.5861363,1,000431, -000133, 017123
1663835670.5861363,1,000431, -000133, 017123
1663835670.5861363,1,000431, -000133, 017123
1663835670.5871334,1,000431, -000133, 017123
1663835670.587202,1,000431, -000133, 017123
1663835670.587202,1,000431, -000133, 017123
1663835670.587202,1,000431, -000133, 017123
1663835670.587202,1,000431, -000133, 017123
1663835670.5881991,1,000431, -000133, 017123
1663835670.588243,1,000431, -000133, 017123
1663835670.588243,1,000429, -000134, 017037
1663835670.588243,1,000429, -000134, 017037
1663835670.5892482,1,000429, -000134, 017037
1663835670.5896122,1,000429, -000134, 017037
1663835670.5896122,1,000429, -000134, 017037
1663835670.5896122,1,000429, -000134, 017037
1663835670.5896122,1,000429, -000134, 017037
1663835670.5906093,1,000429, -000134, 017037
1663835670.5916147,1,000429, -000134, 017037
1663835670.5952775,1,000429, -000134, 017037
1663835670.5952775,1,000460, -000124, 017082
1663835670.5963085,1,000460, -000124, 017082
1663835670.5963085,1,000460, -000124, 017082
1663835670.5966322,1,000460, -000124, 017082
1663835670.5966322,1,000460, -000124, 017082
1663835670.5966322,1,000460, -000124, 017082
1663835670.597629,1,000460, -000124, 017082
1663835670.597846,1,000460, -000124, 017082
1663835670.597846,1,000460, -000124, 017082
1663835670.597846,1,000460, -000124, 017082
1663835670.5988429,1,000420, -000112, 017057
1663835670.5990086,1,000420, -000112, 017057
1663835670.5990086,1,000420, -000112, 017057
1663835670.5990086,1,000420, -000112, 017057
1663835670.6000056,1,000420, -000112, 017057
1663835670.6000056,1,000420, -000112, 017057
1663835670.6000056,1,000420, -000112, 017057
1663835670.601003,1,000420, -000112, 017057
1663835670.601003,1,000420, -000112, 017057
1663835670.601003,1,000420, -000112, 017057
1663835670.601003,1,000423, -000126, 017087
1663835670.6020005,1,000423, -000126, 017087
1663835670.6030061,1,000423, -000126, 017087
1663835670.6030061,1,000423, -000126, 017087
1663835670.6069953,1,000423, -000126, 017087
1663835670.6069953,1,000423, -000126, 017087
1663835670.6069953,1,000423, -000126, 017087
1663835670.6079912,1,000423, -000126, 017087
1663835670.6081965,1,000423, -000126, 017087
1663835670.6081965,1,000423, -000126, 017087
1663835670.6081965,1,000423, -000135, 017070
1663835670.6091936,1,000423, -000135, 017070
1663835670.6093535,1,000423, -000135, 017070
1663835670.6093535,1,000423, -000135, 017070
1663835670.6093535,1,000423, -000135, 017070
1663835670.6103506,1,000423, -000135, 017070
1663835670.6105669,1,000423, -000135, 017070
1663835670.6105669,1,000423, -000135, 017070
1663835670.6105669,1,000423, -000135, 017070
1663835670.611564,1,000423, -000135, 017070
1663835670.611564,1,000441, -000106, 017076
1663835670.611564,1,000441, -000106, 017076
1663835670.611564,1,000441, -000106, 017076
1663835670.6125615,1,000441, -000106, 017076
1663835670.6125615,1,000441, -000106, 017076
1663835670.6136603,1,000441, -000106, 017076
1663835670.6136603,1,000441, -000106, 017076
