x_acc,y_acc,z_acc,label
1663835558.494261,1,000423, -000116, 017020
1663835558.5029678,1,000423, -000116, 017020
1663835558.504545,1,000423, -000116, 017020
1663835558.505664,1,000423, -000116, 017020
1663835558.505664,1,000411, -000117, 016984
1663835558.507812,1,000411, -000117, 016984
1663835558.510544,1,000411, -000117, 016984
1663835558.5120127,1,000411, -000117, 016984
1663835558.51301,1,000411, -000117, 016984
1663835558.5147367,1,000411, -000117, 016984
1663835558.5152855,1,000411, -000117, 016984
1663835558.516281,1,000411, -000117, 016984
1663835558.5169864,1,000411, -000117, 016984
1663835558.535498,1,000411, -000117, 016984
1663835558.5478785,1,000413, -000102, 016986
1663835558.5493786,1,000413, -000102, 016986
1663835558.5508194,1,000413, -000102, 016986
1663835558.5518167,1,000413, -000102, 016986
1663835558.5535505,1,000413, -000102, 016986
1663835558.5548444,1,000413, -000102, 016986
1663835558.555007,1,000413, -000102, 016986
1663835558.5560036,1,000413, -000102, 016986
1663835558.5568104,1,000413, -000102, 016986
1663835558.5578072,1,000413, -000102, 016986
1663835558.5586216,1,000413, -000102, 016986
1663835558.559618,1,000426, -000123, 017009
1663835558.5603871,1,000426, -000123, 017009
1663835558.5613837,1,000426, -000123, 017009
1663835558.5621688,1,000426, -000123, 017009
1663835558.5631654,1,000426, -000123, 017009
1663835558.5638993,1,000426, -000123, 017009
1663835558.5648963,1,000426, -000123, 017009
1663835558.5654168,1,000426, -000123, 017009
1663835558.5664136,1,000426, -000123, 017009
1663835558.5669641,1,000426, -000123, 017009
1663835558.568035,1,000417, -000133, 017021
1663835558.569032,1,000417, -000133, 017021
1663835558.5691628,1,000417, -000133, 017021
1663835558.5701597,1,000417, -000133, 017021
1663835558.5706813,1,000417, -000133, 017021
1663835558.5716784,1,000417, -000133, 017021
1663835558.572196,1,000417, -000133, 017021
1663835558.5731926,1,000417, -000133, 017021
1663835558.5735235,1,000417, -000133, 017021
1663835558.5745203,1,000417, -000133, 017021
1663835558.574757,1,000417, -000133, 017021
1663835558.575754,1,000439, -000116, 017027
1663835558.5760205,1,000439, -000116, 017027
1663835558.5770175,1,000439, -000116, 017027
1663835558.5772786,1,000439, -000116, 017027
1663835558.5782757,1,000439, -000116, 017027
1663835558.5785136,1,000439, -000116, 017027
1663835558.5795107,1,000439, -000116, 017027
1663835558.5798624,1,000439, -000116, 017027
1663835558.5808592,1,000439, -000116, 017027
1663835558.5811322,1,000439, -000116, 017027
1663835558.5821292,1,000432, -000139, 017004
1663835558.5823987,1,000432, -000139, 017004
1663835558.5823987,1,000432, -000139, 017004
1663835558.5833952,1,000432, -000139, 017004
1663835558.5838523,1,000432, -000139, 017004
1663835558.5838523,1,000434, -000128, 017034
1663835558.58485,1,000434, -000128, 017034
1663835558.5854335,1,000434, -000128, 017034
1663835558.5854335,1,000434, -000128, 017034
1663835558.5864315,1,000434, -000128, 017034
1663835558.5869422,1,000434, -000128, 017034
1663835558.5879393,1,000434, -000128, 017034
1663835558.5879393,1,000434, -000128, 017034
1663835558.5885212,1,000434, -000128, 017034
1663835558.589518,1,000434, -000128, 017034
1663835558.5896544,1,000413, -000110, 016986
