x_acc,y_acc,z_acc,label
1663835616.4161084,1,000454, -000099, 017044
1663835616.4171064,1,000454, -000099, 017044
1663835616.4244664,1,000457, -000098, 017031
1663835616.4260943,1,000457, -000098, 017031
1663835616.4263327,1,000457, -000098, 017031
1663835616.4273298,1,000457, -000098, 017031
1663835616.4276395,1,000457, -000098, 017031
1663835616.4286685,1,000457, -000098, 017031
1663835616.4286685,1,000454, -000099, 017044
1663835616.4296339,1,000454, -000099, 017044
1663835616.4296339,1,000454, -000099, 017044
1663835616.433202,1,000454, -000099, 017044
1663835616.433202,1,000454, -000099, 017044
1663835616.4396772,1,000454, -000099, 017044
1663835616.4406734,1,000454, -000099, 017044
1663835616.4408221,1,000454, -000099, 017044
1663835616.4408221,1,000437, -000113, 017048
1663835616.4418192,1,000437, -000113, 017048
1663835616.4422665,1,000437, -000113, 017048
1663835616.4422665,1,000437, -000113, 017048
1663835616.4435282,1,000437, -000113, 017048
1663835616.4435282,1,000437, -000113, 017048
1663835616.4445288,1,000437, -000113, 017048
1663835616.445106,1,000437, -000113, 017048
1663835616.445106,1,000437, -000113, 017048
1663835616.446103,1,000437, -000113, 017048
1663835616.4466562,1,000434, -000131, 017020
1663835616.4466562,1,000434, -000131, 017020
1663835616.4476533,1,000434, -000131, 017020
1663835616.4481325,1,000434, -000131, 017020
1663835616.4491346,1,000434, -000131, 017020
1663835616.449423,1,000434, -000131, 017020
1663835616.449423,1,000434, -000131, 017020
1663835616.4504197,1,000434, -000131, 017020
1663835616.4508584,1,000434, -000131, 017020
1663835616.4508584,1,000434, -000131, 017020
1663835616.4518554,1,000434, -000131, 017020
1663835616.4522643,1,000450, -000143, 017007
1663835616.4522643,1,000450, -000143, 017007
1663835616.4532611,1,000450, -000143, 017007
1663835616.4536576,1,000450, -000143, 017007
1663835616.4536576,1,000450, -000143, 017007
1663835616.4546542,1,000450, -000143, 017007
1663835616.4550283,1,000450, -000143, 017007
1663835616.4550283,1,000426, -000122, 017024
1663835616.4560254,1,000426, -000122, 017024
1663835616.4563112,1,000426, -000122, 017024
1663835616.4563112,1,000426, -000122, 017024
1663835616.4573085,1,000426, -000122, 017024
1663835616.457529,1,000426, -000122, 017024
1663835616.457529,1,000426, -000122, 017024
1663835616.4585261,1,000426, -000122, 017024
1663835616.458761,1,000426, -000122, 017024
1663835616.458761,1,000426, -000122, 017024
